"Category","Population on 1 January - total"
"Malta",542051
"Luxembourg",660809
"Cyprus",920701
"Estonia",1365884
"Latvia",1883008
"Slovenia",2116792
"Lithuania",2857279
"Croatia",3850894
"Ireland",5194336
"Slovakia",5428792
"Finland",5563970
"Denmark",5932654
"Bulgaria",6447710
"Austria",9104772
"Hungary",9597085
"Greece",10394055
"Portugal",10467366
"Sweden",10521556
"Czechia",10827529
"Belgium",11754004
"Netherlands",17811291
"Romania",19051562
"Poland",36753736
"Spain",48059777
"Italy",58850717
"France",68070697
"Germany",84358845
