,Thurrock,
Date,Ozone,Status
01/01/2024,61.35946,"P µg/m³"
02/01/2024,68.67703,"P µg/m³"
03/01/2024,55.68003,"P µg/m³"
04/01/2024,46.52476,"P µg/m³"
05/01/2024,35.19916,"P µg/m³"
06/01/2024,35.27400,"P µg/m³"
07/01/2024,60.16204,"P µg/m³"
08/01/2024,57.85867,"P µg/m³"
09/01/2024,54.07479,"P µg/m³"
10/01/2024,45.97594,"P µg/m³"
11/01/2024,34.98296,"P µg/m³"
12/01/2024,"No data","P µg/m³"
13/01/2024,28.76303,"P µg/m³"
14/01/2024,36.95371,"P µg/m³"
15/01/2024,30.32632,"P µg/m³"
16/01/2024,25.06773,"P µg/m³"
17/01/2024,20.91327,"P µg/m³"
18/01/2024,21.32073,"P µg/m³"
19/01/2024,22.01922,"P µg/m³"
20/01/2024,60.81896,"P µg/m³"
21/01/2024,67.15530,"P µg/m³"
